0,72.8.180.58,106.211.78.227,112,0.000000000,0.0004,0,
78,106.211.78.227,31.13.79.1,4872,53.217656000,1.7019,0,
79,106.211.78.227,31.13.79.1,5443,53.236578000,1.9134,0,
80,106.211.78.227,31.13.79.1,14950,53.279241000,2.1705,0,
81,106.211.78.227,173.194.36.104,9748,55.603802000,12.3306,0,
82,106.211.78.227,96.17.182.48,1235,61.531988000,0.5680,1,'http://in-cdn.effectivemeasure.net/em.js'::62.022310000
83,106.211.78.227,96.17.182.43,424,62.021215000,5.9890,0,
84,106.211.78.227,223.165.25.20,2233,62.142825000,0.4720,1,'http://netspiderads2.indiatimes.com/ads.dll/getad?slotid=36300'::62.256553000
85,106.211.78.227,96.17.182.40,424,63.231476000,6.6938,0,
86,106.211.78.227,96.17.182.40,424,63.474132000,6.4481,0,
87,106.211.78.227,31.13.79.1,14906,70.385995000,2.5142,0,
88,106.211.78.227,31.13.79.1,8727,70.386042000,2.5144,0,
89,106.211.78.227,31.13.79.1,5343,70.392223000,2.5083,0,
90,106.211.78.227,31.13.79.17,6216,70.713336000,2.2115,0,
91,106.211.78.227,96.17.182.11,1230,71.592216000,1.2174,1,'http://static.gaana.com/images/albums/17/92317/crop_110x110_92317.jpg'::72.606643000
92,106.211.78.227,96.17.182.11,2176,71.594888000,1.2251,2,"'http://static.gaana.com/images/albums/96/93296/crop_110x110_93296.jpg'::72.604261000, 'http://static.gaana.com/images/albums/46/72146/crop_110x110_72146.jpg'::72.608466000"
93,106.211.78.227,96.17.182.11,1232,71.597461000,1.2226,1,'http://static.gaana.com/images/albums/35/72235/crop_110x110_72235.jpg'::72.608034000
94,106.211.78.227,96.17.182.11,1232,71.600466000,1.2322,1,'http://static.gaana.com/images/albums/76/57576/crop_110x110_57576.jpg'::72.608675000
95,106.211.78.227,96.17.182.11,1232,71.606449000,1.2338,1,'http://static.gaana.com/images/albums/67/88467/crop_110x110_88467.jpg'::72.632570000
96,106.211.78.227,96.17.182.11,424,71.609392000,5.9309,0,
97,106.211.78.227,115.112.206.17,580,72.531407000,6.3389,0,
98,106.211.78.227,223.165.30.26,580,72.533085000,6.1073,0,
99,106.211.78.227,203.199.89.9,360,72.592580000,6.0476,0,
100,106.211.78.227,96.17.182.65,424,72.594859000,6.0546,0,
101,106.211.78.227,96.17.182.40,7983,72.804397000,7.6575,2,"'http://timesofindia.indiatimes.com/thumb/19489954.cms?width=81&height=53'::72.882723000, 'http://timesofindia.indiatimes.com/personalisation_reco.cms'::80.143828000"
